condition,image_num,sample_id,C_coverage,Ca_coverage,Cl_coverage,Mg_coverage,Na_coverage,O_coverage,S_coverage,mds_x,mds_y
B,25,5,0.015923459779391982,0.018341404358353512,0.03486010223298359,0.08240180252892117,0.07266612859833199,0.06381154156577885,0.036087570621468924,0.004138118103879677,-0.002910300043353254
C,1,1,0.018882835620123755,0.02319410815173527,0.04060061877858488,0.07572639225181597,0.04140772128060264,0.056493812214151194,0.020315442561205273,-0.0025192416821363793,0.0030021098675758902
C,2,1,0.018771859026096314,0.02102165725047081,0.037318401937046004,0.08541162227602905,0.04472693032015066,0.058649448479956956,0.021357949959644875,-0.0007273839531508197,0.0030304111609673946
C,3,1,0.018301049233252622,0.019582324455205812,0.02816451439332795,0.08249260156039817,0.042117298896959914,0.0520345708905031,0.019706752757600216,0.0006429954178841191,0.00414021217269073
C,4,1,0.01899717514124294,0.0217984934086629,0.03632970137207425,0.08751008878127522,0.04466639763249933,0.056833467850417006,0.02075262308313156,-0.0006379422783948547,0.0034385553026007455
C,5,1,0.01932337906914178,0.020638283562012374,0.03265065913370998,0.08805488297013721,0.043741592682270646,0.05486615550174872,0.02137476459510358,0.00012655535953733896,0.0038624685609623126
C,6,2,0.022239036857680927,0.02236682808716707,0.040681329028786656,0.08226728544525155,0.044794188861985475,0.05903954802259887,0.021408393866020985,-0.0017110952544119155,0.003047917263534111
C,7,2,0.023308447672854452,0.023126849609900458,0.03739574926015604,0.08390503093892925,0.047376916868442295,0.05957425343018563,0.02344969061070756,-0.0008820683406488726,0.0029031891181391404
C,8,2,0.020026230831315578,0.023251277912294862,0.03896959913909066,0.08540489642184558,0.045486951842884045,0.05609026096314232,0.02282754909873554,-0.001061338037255944,0.0028546788584865863
C,9,2,0.021055286521388217,0.022117971482378262,0.03697202044659672,0.08075396825396826,0.04470338983050848,0.05645682001614205,0.022171778315846113,-0.0010162765049586489,0.0028025116374500113
C,10,2,0.019454533225719665,0.02118980360505784,0.035710922787193976,0.0821563088512241,0.046717783158461125,0.05694780737153619,0.022074253430185632,-0.00040506002693975517,0.0023932588533360577
C,11,3,0.018613801452784504,0.018358218993812216,0.03352502017756255,0.08705945655098198,0.05485942964756524,0.055565644336830776,0.02174132364810331,0.0011530165796756787,0.0014714627498304416
C,12,3,0.018156443368307774,0.018818940005380685,0.03249260156039817,0.08416397632499327,0.05068267419962335,0.05204129674468658,0.020433145009416197,0.00077185217342892,0.0019485687923728112
C,13,3,0.01837503362927092,0.017483857949959644,0.03238162496637073,0.08662563895614743,0.04938122141511972,0.05429782082324455,0.022659402744148505,0.0011208694156589973,0.0021095561407063436
C,14,3,0.017884046273876783,0.017393058918482647,0.03265065913370998,0.0825363196125908,0.050544794188861986,0.05499058380414312,0.021721146085552864,0.0009193777043176215,0.001546903519117469
C,15,3,0.018825665859564165,0.017161016949152542,0.03185700834005919,0.08311138014527845,0.04819074522464353,0.0517789884315308,0.022292843691148777,0.0009482659182228772,0.0019840523308241736
C,16,4,0.01904761904761905,0.019605864944847996,0.050221953188054884,0.0854149852031208,0.0782923056228141,0.060129136400322844,0.029109496906107077,0.0008180854543643572,-0.003111019494811537
C,17,4,0.01533831046542911,0.018563357546408393,0.05056497175141243,0.08050511164917945,0.0718724778046812,0.056651869787463005,0.029903147699757868,0.000657621893727685,-0.0038772078574396416
