ring_peak_position,ring_width,center_to_edge_ratio,ring_uniformity_cv,density_gradient,condition,image_num,sample_id,deposit_area_fraction
0.99,,0.9425014229258692,0.018881258468623555,-46.979033992054724,H,1,1,0.24541666666666667
0.11,0.2,1.0875029260060158,0.015372192471577274,-85.41223163486183,H,2,1,0.23556966145833333
0.13,-0.5599999999999999,1.1730848308157698,0.012399548684272224,-110.49738744105272,H,3,1,0.18115885416666666
0.01,,1.1327985550087432,0.008387800844519303,-121.95345098078366,H,4,1,0.12075520833333334
0.99,-0.9199999999999999,1.008231683560083,0.024366918979784193,-78.17718111223707,H,5,1,0.16491861979166667
0.03,-0.7,1.1387182496866861,0.02052220106225299,3.8469520292242976,H,6,2,0.26912760416666665
0.99,-0.6399999999999999,1.1123566005660912,0.010720376293461514,-113.74976579826262,H,7,2,0.2640104166666667
0.11,,1.1043192364637169,0.009854546132652811,24.296067191662388,H,8,2,0.2727962239583333
0.03,,1.1612962809112304,0.01394598884268681,60.42032070859139,H,9,2,0.2628483072916667
0.05,,1.096381736082092,0.012264966073871402,38.06076917233867,H,10,2,0.2635774739583333
0.99,,1.0039966006159649,0.041822364934805324,-87.5344600171153,H,11,3,0.184609375
0.99,,0.9930845649145854,0.018377871908000953,-56.015845270364935,H,12,3,0.17890625
0.01,,1.0252851656636277,0.016295100033647446,-72.87049297818407,H,13,3,0.17934895833333334
0.01,,1.0108427378025793,0.0447430006984972,15.712314805626647,H,14,3,0.17960611979166666
0.85,0.17999999999999994,0.9774949304446118,0.007813825759405198,49.249906822475,H,15,3,0.18132486979166668
0.11,,1.1965815156921369,0.005315866986902676,-76.87309020393218,H,16,4,0.18070638020833332
0.13,,1.2386528825282326,0.012885459714383105,-160.67288705672314,H,17,4,0.17515625
0.01,,1.1696852856304658,0.006751422762467274,-263.85899566088614,H,18,4,0.18225260416666667
0.01,,1.1535033512495554,0.003761229908998242,-282.1333743326195,H,19,4,0.17482421875
0.05,,1.1914682003885093,0.007589933035144687,-414.04705734788206,H,20,4,0.18223958333333334
0.5700000000000001,0.66,1.0403709692347385,0.011845320929535745,159.93267110399844,H,21,5,0.14439127604166666
0.61,0.52,1.0085157859247835,0.010087280501353081,130.35290513294717,H,22,5,0.15453776041666667
0.59,0.64,1.0460910513266486,0.005300322234821756,-123.58497860997062,H,23,5,0.153955078125
0.65,0.36,0.87799667562585,0.008038161996371787,-32.77417309513993,H,24,5,0.15703125
0.63,,1.0066923066697482,0.006710962011972563,-78.94718378926629,H,25,5,0.16498046875
0.99,,0.9773153957858972,0.048019604124309834,-22.0964301162021,I,1,1,0.22782552083333332
0.01,,1.1732721955437202,0.009014226517891617,-125.20930024334115,I,2,1,0.22294921875
0.01,-0.49999999999999994,1.1323892639630337,0.014051640326872764,-122.92801269221764,I,3,1,0.240263671875
0.01,0.14,1.035325800796272,0.013241695106885613,13.750975145501911,I,4,1,0.23706380208333333
0.99,0.15999999999999998,0.9930898200950352,0.03800057917649015,-27.873849753659385,I,5,1,0.23105143229166666
0.11,,1.100531647690391,0.009909532742938758,-68.96328918637062,I,6,2,0.3109212239583333
0.01,,1.129388839622259,0.00564105151906447,-197.42754241846234,I,7,2,0.3090950520833333
0.15000000000000002,-0.5599999999999999,1.068485891752312,0.0033520644593764875,-62.40496330198957,I,8,2,0.32467447916666664
0.01,,1.124233423712544,0.014517730736817074,-105.74565686576796,I,9,2,0.31270182291666665
0.01,,1.1045737586143622,0.02813580020495826,-11.424281840027561,I,10,2,0.3069791666666667
0.99,0.15999999999999998,1.06711968182803,0.03027630625636497,-275.9837094396049,I,11,3,0.19344401041666667
0.99,,0.9676582502233922,0.026759031178179224,56.938292755687144,I,12,3,0.187021484375
0.99,0.33999999999999997,0.9920106285204728,0.04435548472471944,-2.231852408289569,I,13,3,0.18604166666666666
0.99,0.22000000000000003,1.0409373491681184,0.0125000589060881,-81.69644575717683,I,14,3,0.1858984375
0.99,0.52,1.0151270400854047,0.022045150949233525,-35.54832208387813,I,15,3,0.19599609375
0.01,-0.3999999999999999,1.2421068646467868,0.02304583069961339,32.702750692783326,I,16,4,0.18751953125
0.01,,1.185257400867839,0.017308869906059877,-31.12016521833533,I,17,4,0.17958984375
0.01,,1.2354186895341415,0.012758533864964018,-201.77057791237962,I,18,4,0.18185872395833333
0.01,,1.2329154326140306,0.009032774598571333,13.52378250838251,I,19,4,0.17333984375
0.19,,1.212229859469035,0.010414546913438297,150.57294643510096,I,20,4,0.1800390625
0.75,0.33999999999999997,1.0047975070037933,0.013807068620149264,-175.44301046042156,I,21,5,0.18538736979166667
0.79,0.22000000000000008,0.8928480267676959,0.024593394543032887,-352.6457927238722,I,22,5,0.17806966145833333
0.85,,1.0128003889691117,0.031612333468770806,130.94562064057646,I,23,5,0.18101888020833334
0.83,,1.0078623576593508,0.018075310037887555,-383.8856936223049,I,24,5,0.17804361979166666
0.85,,1.010708962281668,0.038466730350871885,-224.88427484195648,I,25,5,0.17733072916666667
