condition,image_num,sample_id,particle_count,area_mean,area_median,area_std,area_skew,equiv_diameter_mean,equiv_diameter_median,feret_diameter_mean,feret_diameter_median,circularity_mean,circularity_std,solidity_mean,solidity_std,aspect_ratio_mean,aspect_ratio_std,eccentricity_mean,eccentricity_std,deposit_area_px,deposit_equiv_radius,deposit_center_y,deposit_center_x
B,5,1,539,974.3673469387755,428.0,1540.8809550362757,3.7779414183796973,29.649855638241718,23.34408972623798,47.022283290488545,32.31098884280702,0.7090815470980973,0.26513446571407884,0.8633759911451598,0.1148224812176701,1.896160998086929,0.9043122901954814,0.7611633426614101,0.16212960894235298,603520,438.2994210692519,493.51898197242843,1137.2289501590667
B,6,2,4440,469.4927927927928,276.0,625.1659459388051,7.030006696155703,22.06735485609626,18.746042631630413,33.288047944733634,24.73863375370596,0.773778627131684,0.243490465964319,0.8811739940510057,0.11181600933264227,1.7677980467588246,0.8465745134342064,0.7239289864687224,0.1823961454055921,2801952,944.3987622887086,873.1296067884103,1273.3805404232478
B,7,2,1398,558.9670958512161,278.0,1031.7547376062535,12.35851653634481,23.268259434240328,18.813718754641503,37.1390494342421,26.0,0.739181781044682,0.2541731230051686,0.8686660312610764,0.11465674686185177,1.892343108246964,1.074491587961409,0.7523687720444318,0.16379093890107782,1164256,608.7644822497411,631.7598466316687,1095.087609597889
B,8,2,699,498.40343347639487,296.0,661.4616382673822,5.479239609533547,22.67442162748263,19.413369239820483,35.64883313167833,26.832815729997478,0.7466637282510173,0.23754992508146575,0.8757419146271909,0.10406570178995998,1.9104298929325272,1.073670013115522,0.7515923867047979,0.1761316067713424,517936,406.03466503549646,705.4733094436378,1048.1975997034383
B,9,2,434,568.258064516129,320.0,663.8097669438208,3.6079031134532027,24.170305319749698,20.185060176161283,38.25528372697673,28.284271247461902,0.7273476166718844,0.2532848487240738,0.8671861194987192,0.1105750835830742,1.9127217048356435,1.0563979576888782,0.7468105601324989,0.17660575190942288,344640,331.21340427944887,318.31151346332405,969.366295264624
B,10,2,1345,577.7278810408922,284.0,1004.9274910189789,6.825326823237247,23.474745979845903,19.015783725757565,37.401312690993024,26.68332812825267,0.7297033779068742,0.24704043441695098,0.8666873195908035,0.10867800053348771,1.9141360296705563,1.0740156505668612,0.7621314485728684,0.1603314003051744,1189904,615.4333487954949,768.6182347483494,1278.935060307386
B,11,3,3393,461.0409666961391,308.0,608.2864782762989,7.331134722529205,22.15356271829632,19.802974013476614,31.948788768055856,26.68332812825267,0.79024533920538,0.21728462553787567,0.8888685643274141,0.09670520193070628,1.6867935314791136,0.5994535469006381,0.7276959032340184,0.1595052194585964,2158944,828.9832440509143,974.8386396312271,1265.693368609839
B,12,3,3326,428.3223090799759,276.0,560.5059128512856,6.128082853018648,21.282995603791353,18.746042631630413,30.47723957502275,24.73863375370596,0.8020407196602599,0.21131555730770732,0.8938665053785749,0.09271579720046236,1.6818916332330622,0.5797262028017266,0.7247977375747764,0.1649712247427219,2261152,848.3790637234341,943.9447432105404,1328.1603076661809
B,13,3,2665,437.78311444652905,248.0,874.3299808455968,11.44712625824416,20.83237510291303,17.769732893161912,30.555577089618232,24.166091947189145,0.7898481922221543,0.2178005199465049,0.886768979730829,0.09719969160102263,1.7105067406983905,0.6207168385954622,0.7346294960148885,0.1581791697206041,2047616,807.3267095223028,955.8569106707507,1238.5743264362068
B,14,3,2979,412.15575696542464,252.0,710.2231565347348,9.394957007314515,20.526069363232843,17.91246396432554,29.63631457747125,24.166091947189145,0.7944168223402721,0.21424686692211334,0.8907430765370988,0.09435484044075249,1.6755687370100412,0.5666094230419574,0.7223451150957454,0.1671086829026537,2222464,841.0899255653775,980.5539077348385,1267.7116569717214
