condition,image_num,sample_id,boundary_fractal_D,boundary_fractal_R2,particle_fractal_D,particle_fractal_R2
E,2,1,1.0978772375394825,0.9978287989263103,1.1155012844571104,0.9816562051924557
E,3,1,1.1208772467155201,0.9952955630413187,1.1040831533334694,0.9837644428380007
E,4,1,1.1240906521479332,0.9971641717723463,1.0500074753102877,0.9838671583999158
E,5,1,1.047280565672562,0.9983795962121925,0.8847253817137826,0.9722957721277815
E,6,2,1.0421286155442941,0.9995103954368137,1.2744819734560247,0.9658613263559934
E,7,2,1.1378272875938538,0.995539319292734,1.190118831562321,0.9830083296397913
E,8,2,1.0357051872844996,0.9997263213748988,1.3519274466570108,0.9718387548339308
E,9,2,1.0834321367881676,0.9967756483401778,1.2333458206051637,0.9686024925763468
E,10,2,1.0522728917040896,0.9988086250943884,1.219881879514925,0.9630461662677362
E,11,3,1.0270516292599872,0.9991628225467349,1.366584485154542,0.9723990593451552
E,12,3,1.0358635354546186,0.9987731861308176,1.4166375050568267,0.9732250473200587
E,13,3,1.020654238692118,0.9996981523172144,1.3974642903136767,0.9767473789190656
E,14,3,1.0406411668012416,0.9993995205036539,1.3252204097125315,0.9672427090858783
E,15,3,1.0206476423783637,0.9998710457850727,1.3523544352526422,0.9708188284963731
E,16,4,1.0204941797461207,0.9998384467133256,1.3606616412786925,0.9703567908644866
E,17,4,1.0251045716932377,0.9997958333825679,1.3674684885983754,0.971054613656446
E,18,4,1.0290519622017533,0.9997309853437709,1.3836236403547137,0.9712367384546059
E,19,4,1.0218639972335817,0.999831402419585,1.3168589002652247,0.9706639921027472
E,20,4,1.020765615620016,0.9998994435549896,1.3428676275108664,0.9714648655404368
E,21,5,1.0281214354218249,0.9994926164822351,1.336383897316957,0.9762765816382651
E,22,5,1.029701274818686,0.9995898660049125,1.3053286215819264,0.978942532308681
E,23,5,1.024458142024921,0.999845737264541,1.2726597108566984,0.9774793800988149
E,24,5,1.0181884137423705,0.9998669311277827,1.3767796504555216,0.9778602573605828
E,25,5,1.0304784908746214,0.9994887482442345,1.3510719269731528,0.979686847949822
F,1,1,1.094677438361399,0.9971033839800898,1.13328785653998,0.9683153262167821
F,2,1,1.0358121443457142,0.9992620242214106,1.3118367577411607,0.9744101928967916
F,3,1,1.0484821035478844,0.9986049964980533,1.290118862538195,0.974703168738839
