condition,image_num,sample_id,particle_count,clark_evans_R,nnd_mean_um,nnd_median_um,nnd_std_um,nnd_cv,voronoi_cv,voronoi_entropy,L_max,L_max_radius_um
D,19,4,970,1.2139786277472855,36.901920152779354,33.46806105992859,14.878997834481499,0.4032038921790592,9.726134640311184,4.351765500886485,10.671977267460619,165.76520159636945
D,20,4,1239,1.318696467226041,32.91818190444123,30.885986869455063,10.753073348334864,0.32666060900781674,10.038166849568523,4.280798301161819,4.300453406102406,170.9439429317163
D,21,5,1123,1.1817267285974111,33.52532210696452,29.984860714082526,13.31276296347934,0.3970957511162512,10.950895274301253,4.294454423361939,14.910451212613225,184.95788238259198
D,22,5,1149,1.1784185023294562,33.38606872676814,30.050474223571875,13.168407730661048,0.3944282220956114,3.412521181574315,6.075745832377701,16.5005670645578,168.1493991795523
D,23,5,1409,1.2862917539617222,31.715754828071336,29.52296634682771,11.197078516306282,0.3530446800653108,10.496509108954024,4.271689733018652,11.729543036000678,198.0664026857269
D,24,5,1258,1.2091275172965654,31.9094655279088,29.322833422919054,12.608119712802411,0.39512162000253626,10.915331695534288,3.826234545670263,17.76800565239097,200.3122441525341
D,25,5,1004,1.2248450817394392,31.951652220572353,29.09209842634459,11.95748485409219,0.37423682417253085,8.28326607492295,4.223896645009473,12.14615325693714,144.72667659861486
E,1,1,789,1.3278828654462915,48.721004806485695,46.669300648034444,18.420290172355845,0.37807697615267066,4.60707158875951,4.648237216343898,0.0,0.0
E,2,1,567,1.3191340081451972,42.58290369688401,37.83297651645196,17.16472305553571,0.4030895398237423,4.389436610567166,4.281777391362793,0.0,0.0
E,3,1,670,1.352772381603306,41.41748705571294,38.585906792535454,16.50854768480207,0.3985888294621911,4.76181145415059,4.222295277893609,0.0,0.0
E,4,1,293,1.329931879094273,45.77996301167297,42.36146303299564,21.59692885483672,0.4717550525178436,3.642631233657162,4.0848952935999145,0.0,0.0
E,5,1,82,1.2308569478883546,54.277656475751215,49.5057786658769,22.302263428291457,0.41089215851194855,3.057504508336516,2.7068894498740654,0.0,0.0
E,6,2,2491,1.2142811879620354,40.84173004154257,38.30643916670766,14.312509277605532,0.3504383693601476,11.691859775229222,5.115446449849742,3.6917801094141396,130.63476982147097
E,7,2,1057,1.3012673230557021,37.8714865423501,35.14886312350904,13.715173141063906,0.3621503773221788,6.849426662968545,4.611784764413558,0.0,0.0
E,8,2,3388,1.2866636174865136,36.67418360602489,34.399437536923784,12.320669472600667,0.3359493862210094,16.148526710638855,4.410911301660528,7.588937333338123,225.93954028144273
E,9,2,2008,1.2180936004335297,41.994485501796476,38.759030600388996,15.591568956462497,0.37127658001180913,5.8268881118972615,5.906888079649459,5.428395435402422,120.22104941802463
E,10,2,1855,1.2051460000804979,45.33410861816853,41.996143765660044,16.21041906212646,0.3575766581992486,11.173691581944404,4.965952805154954,9.272628986902617,189.1192297001777
E,11,3,2115,1.2806620536826465,34.998249227274506,33.04324837944491,12.077910081949799,0.34510040783803997,15.709509761167071,4.453558427790986,5.1042679639737685,195.60683074794085
E,12,3,2751,1.3134487224595506,33.056715779583925,31.45665696416438,10.181383346054064,0.307997425211314,13.042383605683392,5.759658346235678,3.357518305086984,179.76990225419524
E,13,3,3510,1.32566094553324,38.264191299065956,36.276708586886414,10.831002197180714,0.2830584373919619,6.485437584964826,6.541338131918917,6.093359129863131,299.4216577639974
E,14,3,3057,1.3013264127538768,40.00044176607678,37.97404596521127,12.114601823533713,0.30286170073770924,11.995542278829479,5.632046467431682,6.611404298585342,330.6384285476355
E,15,3,3153,1.3384657981973123,38.311191036860805,36.91770609104667,10.527863967634197,0.2747986602010075,15.629826129381165,4.643913334295395,6.867879423205068,312.6852727261126
E,16,4,3551,1.3474035320261604,38.65199931468371,36.108527858915885,12.691801349274124,0.32836079825895503,19.012757783002538,3.9821556483713163,13.064339957446464,332.5651091955932
E,17,4,3655,1.348689447878298,38.06823671427904,35.56966611401632,12.150520506292404,0.3191773918368764,11.035149404455776,5.8352228814275096,11.496098099434732,331.98736699476456
E,18,4,3899,1.37852702495376,37.793330140969076,36.10728166641625,11.132465737760995,0.29456165138761026,11.173731559963441,6.176641601076944,10.374218972786252,299.74094315132714
E,19,4,2616,1.3117699266296659,40.11132669580661,37.715062558096605,12.818315398804007,0.319568472417146,11.538888990052923,5.619581501756247,6.694539981918069,212.98711560421475
E,20,4,2791,1.3520959758811726,38.86986145888138,36.68940936326434,11.949369059362192,0.3074199035158094,15.728137080071726,4.379706540819778,6.186007648640583,206.82855437973964
E,21,5,1340,1.2330886069648344,36.792367905678184,34.19281763272497,13.57570301273573,0.3689814976719828,5.136594071743617,5.752471514762204,23.00732552127954,276.239813049634
E,22,5,1143,1.2105394221866572,37.29136150661722,35.37432279229553,14.076846347916122,0.37748276756852217,6.796395450050121,5.324571119048148,39.053683600360046,405.2373616763611
E,23,5,924,1.1917784014125496,39.78543949408691,36.75732930921491,16.7236967197342,0.4203471655056054,8.753672910131991,4.854568869077606,42.81050890487205,394.84050298910006
E,24,5,1344,1.2838149373300791,35.28128289828536,33.09111973679825,13.81387358263573,0.39153546718980203,11.901976055097046,4.2029451641132995,35.42338138664576,372.41078118320706
E,25,5,1500,1.2522031519836594,35.008459030725064,32.48470377279061,13.784515801453374,0.3937481449656335,5.427010347801359,5.8887089432173285,37.63295378838313,379.1782366478613
F,1,1,638,1.1478453448407642,47.08627007614395,42.75418043701453,18.685227729473045,0.3968296426804856,4.165212287003378,4.7896132430546,8.666713950026235,100.79020336982404
F,2,1,1498,1.346365948250474,38.55468119252161,36.52336756156887,11.8193888765621,0.3065617069310558,6.203915991939782,5.624045297295481,4.100316379886266,194.0615425118916
F,3,1,1495,1.327290446207848,39.22194738464257,37.105017178854986,12.050698023540404,0.3072437455835984,8.189121172992728,5.150431518314517,1.5747614735632283,133.3712117076502
F,4,1,1247,1.2415437739695845,39.39244641002717,36.927162435939586,13.859953278466232,0.35184291765484876,12.36573978917801,4.48279786943756,7.715714219094565,174.38181596278235
F,5,1,1392,1.2790926032217214,39.45956419163722,36.89461888262744,13.53254422662631,0.34294712837944374,11.4106448945229,4.348291770255386,6.191645015389071,179.13768903503416
F,6,2,1397,1.2815622535577238,41.5434122642709,38.997518720951035,13.767122543663554,0.33139123132415066,7.4991731609169054,4.946133324927592,3.0652102213698242,165.00069245709798
F,7,2,1727,1.3144691482134454,38.99304590884147,36.912515262988194,12.58951617012188,0.32286567711467945,10.12492023156462,4.992797606537041,5.373068757748769,167.88350913146442
F,8,2,2490,1.377106383381518,35.79038365524122,34.299075739703156,9.722912705390382,0.2716627125053614,13.501541716002007,5.066033826051626,1.8895018108829902,151.38291097257343
F,9,2,2109,1.3345949086047617,37.74714946229192,36.14081937102621,11.67743759543181,0.30935945526422226,11.959202050579236,4.512555873124826,3.141957809412702,176.88788640382012
F,10,2,2044,1.336518312942846,38.748432359083395,36.874176457938844,11.631048830273102,0.30016824222687694,6.026953377456768,5.935709931948731,3.6083383137305702,178.50269387991423
F,11,3,1431,1.2695202684800058,34.496115466341074,32.5682044569084,10.83924623984095,0.31421642968516666,9.658291754296776,4.3719279234049635,1.9102532589517978,179.9782173722632
F,12,3,1323,1.3015515820409127,35.732396515944,34.13252318133717,10.295809203990077,0.2881365429658777,7.0664868134164385,5.443802102427828,0.0,0.0
F,13,3,1412,1.3127848570313057,34.50229578212171,32.83193012418578,9.843866798000198,0.2853104865879986,13.078593047791278,4.010279367876014,0.0,0.0
F,14,3,1514,1.3211095391323329,34.891345721296695,33.29352138349292,9.879766200144996,0.28315807246479074,6.0147281080354835,5.603966834739966,0.0,0.0
F,15,3,1448,1.32711777977982,34.70947477364608,33.732371691411885,9.574937129145182,0.2758594646443674,8.989623554914106,4.668028157074692,0.0,0.0
F,16,4,1831,1.288678112414428,30.647351267643494,28.412509764556447,10.471821560812694,0.3416876541585019,11.700774635610978,4.322592948687515,11.699064953222688,237.57513117925515
F,17,4,1724,1.2955386625934373,33.31690478660572,31.048059038901293,12.21692330912095,0.36668842401087864,6.28174476505515,5.803890414717066,10.057079113367962,207.73513956055066
F,18,4,1520,1.3377348334281758,32.08920347445564,30.067091515533512,10.524276818540727,0.32796940026630755,8.1078030246249,5.100470175327679,7.042776751874612,200.13841040938996
F,19,4,1946,1.350988729669928,32.109568645456726,29.841100055795735,11.366909162924458,0.3540037952061618,5.855977480212077,5.897477452392615,14.436166285309014,265.17011768571365
