radius_bin,r_center,mean_intensity,pixel_count,condition,image_num,particle_density,n_particles
25,0.51,103.5022491508308,32679,A,6,306.0069157562961,40
26,0.53,104.1048401342519,33966,A,6,235.5296472943532,32
27,0.55,106.46296401407652,35236,A,6,276.70564195708937,39
28,0.5700000000000001,110.73680035016687,36554,A,6,218.8542977512721,32
29,0.59,109.53544993126785,37828,A,6,224.70127947552078,34
30,0.61,109.98392546329477,39068,A,6,326.35404934985155,51
31,0.63,108.59163016309056,40407,A,6,259.8559655505234,42
32,0.65,109.07494718647973,41656,A,6,300.0768196658345,50
33,0.67,109.53721682847896,42951,A,6,250.28520872622292,43
34,0.69,108.87081578112968,44154,A,6,305.7480635955972,54
35,0.71,107.03004157539452,44738,A,6,273.81644239796145,49
36,0.73,106.63928430642548,45662,A,6,312.07568656651046,57
37,0.75,106.55398226297073,46682,A,6,251.70301186752923,47
38,0.77,104.64702318780029,47870,A,6,250.67892208063506,48
39,0.79,104.93723133340124,49085,A,6,275.0331058368137,54
40,0.81,103.15848666693161,50326,A,6,238.4453364066288,48
41,0.83,104.39061534898086,51808,A,6,371.56423718344655,77
42,0.85,105.94616248596031,53420,A,6,327.5926619243729,70
43,0.87,105.19484677829469,53093,A,6,296.6492757990696,63
44,0.89,104.522146356821,50821,A,6,304.9920308533874,62
45,0.91,105.24678102587761,47686,A,6,330.2856184205008,63
46,0.9299999999999999,104.9587239495515,44481,A,6,393.4264067804231,70
47,0.95,105.84636899163408,40402,A,6,290.827186772932,47
48,0.97,106.98522492777549,36345,A,6,357.68331269775763,52
49,0.99,107.5676264214856,33064,A,6,310.00483909992744,41
0,0.01,100.86736214605067,671,A,7,0.0,0
1,0.03,106.16798810703666,2018,A,7,123.88503468780972,1
2,0.05,108.40291406482308,3363,A,7,223.01516503122215,3
3,0.07,106.66055045871559,4687,A,7,320.0341369746106,6
4,0.09,103.78018166804294,6055,A,7,206.4409578860446,5
5,0.11,102.86393176279448,7386,A,7,135.3912808015164,4
6,0.13,105.27774589693561,8713,A,7,229.54206358315162,8
7,0.15000000000000002,104.42653324086,10093,A,7,173.38749628455366,7
8,0.16999999999999998,106.37140350877193,11400,A,7,197.3684210526316,9
9,0.19,105.88678210452088,12763,A,7,235.05445428190865,12
10,0.21000000000000002,104.94112235510579,14131,A,7,176.9160002830656,10
11,0.22999999999999998,105.08796987599818,15403,A,7,243.45906641563332,15
12,0.25,103.50151686395812,16811,A,7,223.068229135685,15
13,0.27,103.43227157500276,18146,A,7,151.54855064477022,11
14,0.29000000000000004,104.0936294925189,19449,A,7,128.54131317805545,10
15,0.31,108.79362794491627,20841,A,7,299.8896406122547,25
16,0.33,108.19872749424665,22161,A,7,248.1837462208384,22
17,0.35,108.09360108917632,23504,A,7,255.27569775357387,24
18,0.37,106.71565430906091,24843,A,7,150.94795314575535,15
19,0.39,106.65799824340321,26187,A,7,124.10738152518427,13
20,0.41000000000000003,106.26034708103398,27544,A,7,163.37496369445253,18
21,0.43,107.80680361658641,28867,A,7,147.22693733328714,17
22,0.45,108.50430007938608,30232,A,7,157.11828526065096,19
23,0.47,108.48090563647878,31580,A,7,174.16086130462318,22
24,0.49,105.20883167473143,32859,A,7,144.55704677561704,19
25,0.51,104.70991831971995,34280,A,7,131.27187864644108,18
26,0.53,105.25045626842622,35615,A,7,147.40979924189244,21
27,0.55,104.39828577628296,36868,A,7,189.86655093848324,28
28,0.5700000000000001,105.64693142678217,38324,A,7,202.22314998434402,31
29,0.59,105.35457664749218,39636,A,7,163.9923302048643,26
