condition,image_num,r_um,L_r
A,18,37.00041568035862,2.213136363573547
A,18,55.50062352053793,10.89275694659078
A,18,74.00083136071724,15.240517688513805
A,18,92.50103920089656,18.32495065671148
A,18,111.00124704107586,21.0597655494077
A,18,129.50145488125517,22.68805321646667
A,18,148.00166272143449,24.456252021963934
A,18,166.5018705616138,24.835887316275176
A,18,185.0020784017931,24.814855730399245
A,18,203.50228624197243,23.660075435273512
A,18,222.0024940821517,22.008015046407905
A,18,240.50270192233103,18.747024406147432
A,18,259.00290976251034,15.188348442324866
A,18,277.50311760268966,11.167404263731896
A,18,296.00332544286897,6.718777605680884
A,18,314.5035332830483,1.696891488655865
A,18,333.0037411232276,-3.6429725974882103
A,18,351.5039489634069,-9.648127809860569
A,18,370.0041568035862,-16.293352626302294
A,18,388.50436464376554,-22.744700711984535
A,18,407.00457248394486,-29.67387867746993
A,18,425.50478032412417,-36.840316493058026
A,18,444.0049881643034,-44.079622215698976
A,18,462.50519600448274,-51.814605721761495
A,18,481.00540384466206,-59.39892755111799
A,18,499.50561168484137,-67.11062715425504
A,18,518.0058195250207,-75.04886911796615
A,18,536.5060273652,-82.88697484663243
A,19,0.0,0.0
A,19,17.93999628096987,-13.677816478922676
A,19,35.87999256193974,1.215665976117812
A,19,53.81998884290961,8.12841566016715
A,19,71.75998512387947,13.029544979579967
A,19,89.69998140484934,17.152449704317874
A,19,107.63997768581922,20.774767836783127
A,19,125.57997396678908,23.18475546230212
A,19,143.51997024775895,25.186453132786653
A,19,161.4599665287288,26.051726266859077
A,19,179.39996280969868,26.600495173751057
A,19,197.33995909066854,26.31282414043676
A,19,215.27995537163844,25.552061908273544
A,19,233.2199516526083,23.90114516370693
A,19,251.15994793357817,21.336377028983122
A,19,269.09994421454803,18.131132314441572
A,19,287.0399404955179,14.85359757411328
A,19,304.97993677648776,10.55813185641722
A,19,322.9199330574576,6.03503779587038
A,19,340.8599293384275,0.9126792126604641
A,19,358.79992561939736,-4.577139473432169
A,19,376.7399219003672,-10.285396138041222
A,19,394.6799181813371,-16.827402040136178
